,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",4482038,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,telepatía,"Kali Uchis",3938580,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
3,"Save Your Tears","The Weeknd",3753440,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
4,"Astronaut In The Ocean","Masked Wolf",3675387,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",3567359,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Blinding Lights","The Weeknd",3094277,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,DÁKITI,"Bad Bunny",3000932,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"Heartbreak Anniversary",Giveon,2724999,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"Hold On","Justin Bieber",2640031,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
10,"The Business",Tiësto,2558326,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,"Calling My Phone","Lil Tjay",2529142,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
12,"Levitating (feat. DaBaby)","Dua Lipa",2526487,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,Streets,"Doja Cat",2514942,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
14,"What’s Next",Drake,2480014,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
15,"WITHOUT YOU","The Kid LAROI",2414245,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
16,"On The Ground",ROSÉ,2397392,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
