Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,10969080,2017-01-06--2017-01-13,us,7qiZfU4dY1lWllzX7mPBI3
2,Bad and Boujee (feat. Lil Uzi Vert),Migos,10112877,2017-01-06--2017-01-13,us,4Km5HrUvYTaSUfiSGPJeQR
3,Fake Love,Drake,8459802,2017-01-06--2017-01-13,us,343YBumqHu19cGoGARUTsd
4,Castle on the Hill,Ed Sheeran,7600859,2017-01-06--2017-01-13,us,6PCUP3dWmTjcTtXY02oFdT
5,Starboy,The Weeknd,7245714,2017-01-06--2017-01-13,us,5aAx2yezTd8zXrkmtKl66Z
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5940766,2017-01-06--2017-01-13,us,3NdDpSvN911VPGivFlV5d0
7,Bounce Back,Big Sean,5384798,2017-01-06--2017-01-13,us,0SGkqnVQo9KPytSri1H6cF
8,Black Beatles,Rae Sremmurd,5319110,2017-01-06--2017-01-13,us,6fujklziTHa8uoM5OQSfIo
9,Caroline,Aminé,5264976,2017-01-06--2017-01-13,us,5GFDrUTLGJix84sNhjCG0g
10,Closer,The Chainsmokers,5145003,2017-01-06--2017-01-13,us,7BKLCZ1jbUBVqRi2FVlTVw
11,Bad Things (with Camila Cabello),Machine Gun Kelly,5104557,2017-01-06--2017-01-13,us,1PSBzsahR2AKwLJgx8ehBj
12,I Feel It Coming,The Weeknd,4710849,2017-01-06--2017-01-13,us,5GXAXm5YOmYT0kL5jHvYBt
13,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,4222618,2017-01-06--2017-01-13,us,7yyRTcZmCiyzzJlNzGC9Ol
14,iSpy (feat. Lil Yachty),KYLE,3932307,2017-01-06--2017-01-13,us,2EEeOnHehOozLq4aS0n6SL
15,Don't Wanna Know,Maroon 5,3834332,2017-01-06--2017-01-13,us,5MFzQMkrl1FOOng9tq6R9r
16,Say You Won't Let Go,James Arthur,3799130,2017-01-06--2017-01-13,us,5uCax9HTNlzGybIStD3vDh
17,X (feat. Future),21 Savage,3715718,2017-01-06--2017-01-13,us,6fwdbPMwP1zVStm8FybmkO
18,24K Magic,Bruno Mars,3634347,2017-01-06--2017-01-13,us,6b8Be6ljOzmkOmFslEb23P
19,Deja Vu,J. Cole,3625170,2017-01-06--2017-01-13,us,6I6NX6tjGsxFAsIfGzY9lJ
20,No Heart,21 Savage,3523362,2017-01-06--2017-01-13,us,4gmmRb6bZJffOOiww1JGTO
21,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,3522587,2017-01-06--2017-01-13,us,5uDASfU19gDxSjW8cnCaBp
22,Party Monster,The Weeknd,3250587,2017-01-06--2017-01-13,us,4F7A0DXBrmUAkp32uenhZt
23,One Dance,Drake,3232872,2017-01-06--2017-01-13,us,1xznGGDReH1oQq0xzbwXa3
24,Sneakin’,Drake,3128059,2017-01-06--2017-01-13,us,4ckuS4Nj4FZ7i3Def3Br8W
25,"How Far I'll Go - From ""Moana""",Alessia Cara,3113949,2017-01-06--2017-01-13,us,5hYTyyh2odQKphUbMqc5gN
26,Side To Side,Ariana Grande,3102930,2017-01-06--2017-01-13,us,4pLwZjInHj3SimIyN9SnOz
27,In the Name of Love,Martin Garrix,3081299,2017-01-06--2017-01-13,us,04DwTuZ2VBdJCCC5TROn7L
28,You Was Right,Lil Uzi Vert,3060910,2017-01-06--2017-01-13,us,2ANLarE8yHVsLWW21nj79M
29,Let Me Love You,DJ Snake,3019307,2017-01-06--2017-01-13,us,4pdPtRcBmOSQDlJ3Fk945m
30,Call On Me - Ryan Riback Extended Remix,Starley,2921996,2017-01-06--2017-01-13,us,78rIJddV4X0HkNAInEcYde
31,All Time Low,Jon Bellion,2913203,2017-01-06--2017-01-13,us,1CnPYaKxTVb4LWOtiGOm0m
32,Mercy,Shawn Mendes,2879286,2017-01-06--2017-01-13,us,4TZy1wLyHec06pwgFYDh1a
33,Starving,Hailee Steinfeld,2873526,2017-01-06--2017-01-13,us,1qOLh0tI7trd1zdDKxYZTe
34,All We Know,The Chainsmokers,2841046,2017-01-06--2017-01-13,us,2rizacJSyD9S1IQUxUxnsK
35,Heathens,Twenty One Pilots,2806573,2017-01-06--2017-01-13,us,6i0V12jOa3mr6uu4WYhUBr
36,Scars To Your Beautiful,Alessia Cara,2783346,2017-01-06--2017-01-13,us,0prNGof3XqfTvNDxHonvdK
37,Swang,Rae Sremmurd,2760152,2017-01-06--2017-01-13,us,6mapJIPnQ23RTAevUoE0DL
38,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,2723907,2017-01-06--2017-01-13,us,0v9Wz8o0BT8DU38R4ddjeH
39,Love Me Now,John Legend,2670040,2017-01-06--2017-01-13,us,6nxQdXa1uAL0rY72wPZu89
40,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2617858,2017-01-06--2017-01-13,us,5knuzwU65gJK7IF5yJsuaW
41,Just Hold On,Steve Aoki,2560326,2017-01-06--2017-01-13,us,3EmmCZoqpWOTY1g2GBwJoR
42,Six Feet Under,The Weeknd,2505750,2017-01-06--2017-01-13,us,4mU5iXHeLgbR94siF7p1sY
43,OOOUUU,Young M.A,2486232,2017-01-06--2017-01-13,us,7JYsArznYOjX2jsrT3UEnL
44,Neighbors,J. Cole,2467071,2017-01-06--2017-01-13,us,0utlOiJy2weVl9WTkcEWHy
45,Redbone,Childish Gambino,2466656,2017-01-06--2017-01-13,us,3kxfsdsCpFgN412fpnW85Y
46,pick up the phone,Young Thug,2407118,2017-01-06--2017-01-13,us,20dP2DaMHIAmwWAbp7peSr
47,Sidewalks,The Weeknd,2367217,2017-01-06--2017-01-13,us,4h90qkbnW1Qq6pBhoPvwko
48,Too Good,Drake,2339464,2017-01-06--2017-01-13,us,11KJSRSgaDxqydKYiD2Jew
49,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2303397,2017-01-06--2017-01-13,us,6DNtNfH8hXkqOX1sjqmI7p
50,Controlla,Drake,2250984,2017-01-06--2017-01-13,us,6F609ICg9Spjrw1epsAnpa
51,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,2231517,2017-01-06--2017-01-13,us,1Bqxj0aH5KewYHKUg1IdrF
52,Needed Me,Rihanna,2114685,2017-01-06--2017-01-13,us,1Tt4sE4pXi57mTD1GCzsqm
53,Love On The Brain,Rihanna,2053664,2017-01-06--2017-01-13,us,2aksifNn5ph8igDOkPBA02
54,Now and Later,Sage The Gemini,2052952,2017-01-06--2017-01-13,us,43jBqV3j3Xi1g6wO0bhIMd
55,Moves,Big Sean,2042847,2017-01-06--2017-01-13,us,0Fv5N0cHBsl4bzCbollCAS
56,Weak,AJR,2026353,2017-01-06--2017-01-13,us,3E2Zh20GDCR9B1EYjfXWyv
57,Chantaje (feat. Maluma),Shakira,2011932,2017-01-06--2017-01-13,us,6mICuAdrwEjh6Y6lroV2Kg
58,Used to This (feat. Drake),Future,2000962,2017-01-06--2017-01-13,us,78sr3ogs4UzITcCNbXM9cM
59,Immortal,J. Cole,1972571,2017-01-06--2017-01-13,us,6AGON2BGdPmPMJGiiNuuwl
60,Both (feat. Drake),Gucci Mane,1961402,2017-01-06--2017-01-13,us,5tFep7dXGd7vEJ668wTPux
61,Make Me (Cry),Noah Cyrus,1945427,2017-01-06--2017-01-13,us,2BrzlUj1u1CtvaJDGIKpsP
62,All Night,The Vamps,1940151,2017-01-06--2017-01-13,us,1yNyoWWWikbLhwIGWjZuDW
63,goosebumps,Travis Scott,1932719,2017-01-06--2017-01-13,us,6gBFPUFcJLzWGx4lenP6h2
64,Too Many Years,Kodak Black,1922714,2017-01-06--2017-01-13,us,0BU7nIcCZxYSE0hYcc5oZz
